Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Fake
1,0,0,0,0,1,0,0,2,36,6170,1
0,0,1,0,0,0,0,0,0,9,515,1
1,0,0,0,0,0,0,0,3,90,6166,1
0,0,1,0,0,0,0,0,0,6,531,1
1,0,1,0,0,0,0,0,2,63,4586,1
1,0,1,0,0,0,0,0,3,86,6166,1
1,0.444,1,0,0,0,0,0,1,2,198,1
1,0,0,0,0,0,0,0,5,79,5056,1
0,0,1,0,0,1,0,0,0,20,649,1
1,0,2,0,0,0,0,0,1,38,414,1
1,0,0,0,0,0,0,0,3,87,6188,1
0,0.391,2,0,0,0,0,0,1,32,207,1
1,0,0,0,0,0,0,0,7,85,6196,1
1,0,0,0,0,0,0,0,3,95,3185,1
1,0,1,0,0,0,0,0,2,70,6312,1
1,0,1,0,0,0,0,0,2,66,3133,1
0,0.25,1,0,0,1,0,0,0,0,571,1
1,0,4,65,0,0,0,0,41,508,2877,1
1,0.538,1,5,0,0,0,0,3,312,6914,1
1,0,0,0,0,0,0,0,3,64,3567,1
1,0,1,0,0,0,0,0,3,76,6296,1
1,0,1,0,0,0,0,0,7,3,39,1
1,0.125,0,0,0,0,0,0,5,85,4508,1
1,0,1,0,0,0,0,1,6,52,2422,1
1,0,1,0,0,0,0,0,6,92,6158,1
1,0,1,0,0,0,0,0,4,76,4932,1
1,0,1,0,0,0,0,0,2,77,6376,1
1,0.273,1,0,0,0,0,0,1,56,6905,1
1,0,1,0,0,0,0,0,2,54,4139,1
1,0,1,0,0,0,0,0,5,79,5979,1
0,0.357,1,0,0,0,0,0,0,3,1,1
1,0,1,0,0,0,0,0,1,2,310,1
1,0,2,88,0,0,0,0,99,236,3005,1
1,0,1,0,0,0,0,0,4,64,4458,1
1,0,1,0,0,0,0,0,2,78,6120,1
1,0,0,0,0,1,0,0,2,64,2811,1
1,0,1,0,0,0,0,0,5,85,6016,1
0,0.286,0,0,0,1,0,0,1,15,552,1
1,0.2,2,0,0,0,0,0,24,128,886,1
1,0,0,0,0,0,0,0,2,12,2183,1
