Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,%Post Single Day,Index of Activity,Average of Likes,Fake
1,0,2,42,1,0,0,111,688,409,1,3,11.111,68.3,0
1,0.067,2,0,0,0,0,58,353,456,1,8.621,0.8,31.121,0
1,0,0,0,0,0,0,44,535,364,1,4.545,1.417,49.75,0
1,0,2,14,0,0,1,81,3109,298,1,1.235,0.833,160.556,0
1,0,2,0,0,0,1,498,1071,1999,1,2,5.333,95.4,0
1,0,2,0,0,0,0,139,4813,1261,1,1,1.364,688.76,0
1,0,2,119,1,1,0,18035,2893954,3,1,8,100,106835.74,0
1,0.308,2,143,1,0,1,64,390,403,1,6.25,1.636,38.984,0
1,0,2,22,1,0,0,972,756,763,1,2,8.333,31.88,0
1,0,2,82,0,1,0,3062,52270056,1135,1,9,14.286,1065826.59,0
1,0.077,2,148,1,1,0,1651,4522020,1136,1,2,14.286,91026.68,0
1,0,2,0,1,1,0,2781,210038315,439,1,3,16.667,5996831.89,0
1,0,2,59,1,1,0,998,37361172,380,1,2,12.5,1474229.61,0
1,0,3,82,1,1,1,8597,38518592,57,1,10,50,393906.02,0
1,0,1,47,0,0,1,99,1113,3124,1,5.051,12.286,55.465,0
1,0,2,0,1,1,0,46,26692983,113,1,6.522,1.429,1096894.848,0
1,0,2,0,1,1,0,261,5776816,329,1,3,2.667,349480.01,0
1,0,3,96,1,0,0,42,260969,3,1,4.762,14,31250.5,0
1,0,5,20,1,1,0,4698,136401856,1215,1,3,25,2010008.24,0
1,0,2,0,0,0,0,143,1023,975,1,4,0.5,142.73,0
1,0,1,28,0,0,0,65,652,738,1,1.538,0.222,90.877,0
1,0,1,0,0,0,0,187,313,444,1,2,2.417,41.28,0
1,0,1,140,0,0,1,119,221622,502,1,4,1.25,17991.92,0
1,0,2,116,1,0,1,461,225619,2,1,2,20,3041.83,0
1,0,3,59,1,0,1,2354,289197,6,1,4,50,12894.73,0
1,0,1,56,0,0,1,44,1061,615,1,2.273,0.8,204.295,0
1,0,2,18,1,1,1,548,1917938,345,1,2,8.333,297613.42,0
1,0,2,65,0,0,1,176,832,784,1,1,0.9,115.94,0
1,0,2,0,0,0,1,81,444,409,1,2.469,0.917,39,0
1,0,2,146,1,0,1,760,2123,3310,1,3,16.667,45.31,0
1,0,2,90,1,0,0,136,743,793,0,2,0.333,62.25,0
1,0,2,0,0,0,0,130,868,717,1,1,0.417,104.59,0
1,0,2,94,0,0,0,52,1301,667,1,1.923,2.833,234.212,0
1,0,2,141,0,0,0,59,535,653,0,8.475,0.583,54.559,0
1,0,2,11,0,0,1,63,618,528,1,1.587,0.2,84.032,0
1,0,2,23,1,1,0,27,31359228,336,1,3.704,4.5,5579525.889,0
1,0,2,47,0,0,1,700,1480,593,1,2,6.417,143.83,0
1,0,2,42,0,0,1,362,1580,835,1,1,3.083,294.72,0
1,0,4,144,1,0,1,880,29124,255,1,3,14.286,2389.89,0
1,0.3,2,0,0,0,1,302,1037,514,1,1,0.75,123.48,0
1,0,6,105,1,1,1,8481,1227569,362,1,8,100,31853.17,0
1,0,2,111,0,0,1,167,2831,1852,1,3,6.583,246.14,0
1,0,2,18,0,0,1,16,857,380,1,6.25,0.75,253.875,0
1,0,1,58,0,0,1,2258,390400,85,1,5,100,38486.91,0
1,0,1,0,0,0,0,497,1896,955,1,1,2.583,354.66,0
1,0,1,149,0,0,1,162,237,193,1,3,6.333,14.56,0
1,0,1,45,0,0,1,7966,176063,36,1,8,100,3056.86,0
1,0.091,1,17,0,0,1,215,33305,293,1,3,3.167,1755.03,0
1,0,2,90,1,0,1,12,5681,629,1,8.333,1.333,1182.5,0
1,0,1,25,0,0,1,85,1112,569,1,1.176,2.5,197.718,0
1,0,3,146,1,0,1,982,5671,3745,1,4,16.667,115.88,0
1,0,3,111,1,0,0,2121,7754,1979,1,2,25,481.22,0
1,0,3,13,0,0,1,1501,874,382,1,1,10,53.81,0
1,0,2,131,0,0,1,79,291,695,1,3.846,2.75,49.705,0
1,0,1,51,0,0,1,71,2490,1321,1,2.817,3.083,275.577,0
1,0,1,34,1,0,0,86,728,1343,1,4.651,7.455,40.663,0
1,0,1,81,0,0,1,242,153,241,1,4,20,12.36,0
1,0,2,92,1,0,0,687,13757,1701,1,1,7.583,537.53,0
1,0,2,127,1,0,1,135,141558,571,1,2,16.667,13258.06,0
1,0,3,104,1,0,0,39,15178,24,1,10.256,19.5,2854.744,0
1,0,3,97,0,0,1,1415,89823,396,1,6,50,1313.64,0
1,0,3,43,0,1,0,1213,1682198,707,1,4,20,38981.48,0
1,0,2,34,0,0,0,728,16498,1165,1,2,3.583,1403.33,0
1,0,2,142,1,1,1,1636,15408,1162,1,2,20,303.08,0
1,0,4,94,1,0,1,535,654,347,1,2,1.5,90.95,0
1,0,2,91,1,0,1,240,846,642,1,2,1.667,77.81,0
1,0,2,132,1,1,0,240,365277,661,1,2,8.091,31891.57,0
1,0,1,29,1,1,1,1477,599291,1,1,3,33.333,17145.74,0
1,0,3,144,1,0,0,1154,86034,232,1,3,16.667,1982.02,0
1,0,2,37,0,0,1,279,113424,579,1,1,6.083,6477.94,0
1,0,6,84,0,0,1,237,2133,630,1,2,5.5,174.21,0
1,0,5,145,1,0,0,4343,642071,573,1,4,25,6242.75,0
1,0,2,0,0,0,0,76,605,592,0,1.316,0.333,47.474,0
1,0,2,41,0,1,1,643,253210,379,1,2,8.333,13256.12,0
1,0,2,23,0,0,0,34,3099,622,1,2.941,2.333,570.529,0
1,0,2,47,0,0,0,9,1420,1966,1,11.111,0.333,186.667,0
1,0,2,31,1,0,0,289,19605,1002,1,3,4.25,632.55,0
1,0,2,74,1,0,0,2225,26195,979,1,2,10,1646.06,0
1,0,2,148,1,0,0,212,6402,2717,1,2,5.417,241.61,0
1,0,2,0,1,1,1,129,204075,1,1,6,6.5,4936.84,0
1,0,2,16,1,1,1,1113,210260,0,1,5,50,3413.47,0
1,0,2,0,1,1,1,1167,451464,0,1,6,33.333,6146.9,0
1,0.167,0,0,0,0,0,0,56,110,0,0,0,0,0
1,0,5,147,0,0,1,291,7231,5813,1,5,20,56.17,0
1,0,2,0,0,0,0,160,535,371,1,3,2.833,59.47,0
1,0,1,29,0,0,1,79,2031,932,1,2.532,4.167,78.418,0
1,0,2,117,1,0,0,494,52429,315,1,1,8.333,4216.97,0
1,0,2,77,0,0,1,356,10797,1070,1,1,5.583,739.64,0
1,0,2,136,1,0,1,230,19918,2530,1,1,6.167,1820.73,0
1,0,2,148,1,0,0,1321,28113,3315,1,2,1.75,634.78,0
1,0,3,32,0,0,1,215,39507,979,1,1,5.75,1280.2,0
1,0,1,145,1,0,1,929,40785,3544,1,4,20,574.81,0
1,0,3,107,1,0,0,375,21032,874,1,3,11.111,967.64,0
1,0,2,45,0,0,0,1643,256808,443,1,4,33.333,16297.21,0
1,0,1,48,1,0,0,128,130240,608,1,2,5.833,6143.7,0
1,0,2,88,1,1,1,6631,7583924,108,1,9,50,95441.52,0
1,0,1,54,0,0,1,350,1195,1128,1,3,3.167,132.97,0
1,0,1,0,0,0,1,682,69254,6337,1,2,25,6092.82,0
1,0,2,57,1,0,1,17,1144,223,1,5.882,0.75,54.706,0
1,0,3,101,0,0,1,472,353,210,1,1,3.25,23.85,0
1,0,3,84,1,1,1,5765,156618,3475,1,4,25,1577.18,0
1,0.111,2,0,1,1,1,6606,278522,1411,1,6,25,3718.88,0
1,0,1,137,1,0,1,748,5722,3852,1,5,25,113.07,0
1,0,1,61,1,0,1,235,113739,27,1,3,4.429,637.98,0
1,0,2,15,1,0,1,177,1384,618,1,1,0.583,105.68,0
1,0.25,1,43,0,0,0,31,501,462,1,3.226,1.3,42.452,0
1,0,0,2,0,1,1,21,295085,637,1,4.762,5.25,13122,0
1,0,2,31,0,0,1,285,30566,1441,1,2,2.583,513.01,0
1,0,2,40,0,1,0,77,336650,543,1,2.597,4.75,22339.26,0
1,0,1,7,0,0,1,116,360,232,1,2,0.75,21.37,0
1,0,2,24,0,0,1,671,4043,662,1,2,14.286,39.5,0
1,0,2,134,0,0,0,379,47373,610,1,3,12.5,466.53,0
1,0,3,124,1,1,0,4436,61315,949,1,5,20,831.54,0
1,0,2,80,0,0,1,173,1034,959,1,2,4.667,81.83,0
1,0,1,104,0,0,1,544,3293,417,1,2,14.286,178.55,0
1,0,3,149,1,0,1,466,7900,1039,1,1,8,77.76,0
1,0,2,74,1,0,1,623,46330,2864,1,1,20,805.13,0
1,0,3,120,1,0,0,553,19504,2163,1,2,10,454.64,0
1,0,2,145,1,0,1,216,1698,526,1,2,2.417,143.02,0
1,0,3,12,0,0,0,124,1474,1016,1,2,1.333,127.17,0
1,0,2,144,0,0,1,1153,14489,2741,1,2,25,339.06,0
